,Time,t3-1,t3-2,t3-3,t3-4,t3-5,t20-1,t20-2,t20-3,t20-4,t20-5,t37-1,t37-2,t37-3,t37-4,t37-5
59,5.9,0.4061401,0.3003459,0.2759257,0.2664145,0.2373804,0.4750757,0.3235171,0.2885826,0.2851423,0.2629613,0.3715078,0.4078812,0.3354317,0.2854709,0.2954121
60,6.0,0.4155976,0.2973594,0.2894248,0.2701273,0.2446922,0.4514887,0.3349409,0.3004026,0.2845257,0.2818659,0.3924357,0.3927547,0.3442903,0.3000118,0.2863124
61,6.1,0.4102212,0.3009426,0.2916491,0.2791714,0.2410365,0.4771737,0.3474707,0.2984514,0.2828636,0.2753612,0.3756868,0.3928451,0.3267126,0.3008853,0.307839
62,6.2,0.4252473,0.295882,0.2921135,0.2640733,0.2397102,0.5057639,0.3255519,0.3142871,0.2941815,0.2655,0.3859918,0.3878911,0.3173657,0.3111576,0.3168671
63,6.3,0.4079503,0.2948042,0.2908976,0.2463424,0.24062,0.4957179,0.3244697,0.307859,0.2897324,0.2702129,0.3797272,0.372902,0.3228468,0.3096018,0.3118204
64,6.4,0.4125973,0.3036444,0.2968854,0.2540844,0.244076,0.494872,0.3144875,0.3335985,0.2899944,0.2763674,0.3966855,0.3822073,0.3103991,0.2956768,0.2944468
65,6.5,0.3975351,0.3107477,0.2984615,0.2573566,0.2570028,0.4895293,0.3228652,0.3118207,0.2693647,0.2655512,0.3974711,0.3927019,0.314369,0.2696563,0.3053985
66,6.6,0.3959912,0.313944,0.2872426,0.2505192,0.2569093,0.4757896,0.3312628,0.3076569,0.293084,0.2758394,0.4127812,0.3986078,0.3210704,0.2811397,0.2997049
67,6.7,0.3849904,0.33871,0.2843128,0.2642077,0.2577979,0.4442937,0.3084624,0.3008393,0.288099,0.2899514,0.4118959,0.3904423,0.3177978,0.2729011,0.3193524
68,6.8,0.3926562,0.3193542,0.2735365,0.2812635,0.2662559,0.4558199,0.325014,0.3021259,0.2956089,0.2794016,0.3841763,0.3969937,0.3192025,0.2624203,0.3004704
