,t3-1,t3-2,t3-3,t3-4,t3-5,t20-1,t20-2,t20-3,t20-4,t20-5,t37-1,t37-2,t37-3,t37-4,t37-5
10,0.2752966554967717,0.22594806234093454,0.2060365328722037,0.20458701460673293,0.19158647727357375,0.3589943615224813,0.27693542091055384,0.26033817160243505,0.21420794969347562,0.21690669760895964,0.3407484145223245,0.32427146831923953,0.2900131924667484,0.232080058472176,0.24117074710161246
11,0.2873876480506522,0.23357359254607707,0.21245296924004492,0.2097858490911611,0.19691852033412732,0.37095986308610585,0.28637934283872346,0.26757646119887996,0.22019576615755268,0.22265557233147237,0.34884084519982933,0.3345026492890821,0.29847374266042237,0.2394688364021442,0.24660063631066798
12,0.29859919072172747,0.24068574097757023,0.218128434679021,0.21420350963391863,0.2017023476563102,0.3816054938723717,0.2946416023433877,0.2737834213176552,0.2254443175315632,0.2277000012383914,0.3557859249674152,0.34339811154532246,0.3059737626769138,0.2460453980765407,0.25101154215967464
13,0.30898055185247564,0.24731337307018353,0.22313066805730458,0.21791928179339526,0.20597741381300033,0.3910341300774354,0.301814071119795,0.27904936094833976,0.2300170353194616,0.2320995827621926,0.36168835784212305,0.351076559348902,0.31257819927535113,0.25187285139849735,0.2545126476449225
14,0.31857905387188457,0.2534841089566107,0.22752365229341343,0.2210079794114967,0.20978152416399998,0.3993438573384252,0.30798439852816106,0.2834601052641482,0.2339742669497495,0.23591094679714103,0.3666473466195801,0.35765044621036757,0.318349519206753,0.2570112692616638,0.2572068997965564
15,0.32744011487311375,0.2592243525288536,0.23136770916149996,0.22354005554551898,0.21315086631220187,0.4066280741215117,0.3132361017634149,0.28709709611718304,0.23737334285159142,0.2391878225564314,0.37075672361361395,0.3632261243684584,0.3233477517132043,0.26151775842410235,0.2591911644658034
16,0.3356072901911556,0.26455932049960507,0.23471959409664078,0.2255817134000229,0.216120041559755,0.4129755951099797,0.31764865602494513,0.29003749253368644,0.24026864353093152,0.24198110642932802,0.37410508139586773,0.3679039942686933,0.3276305310270323,0.2654465283821834,0.26055638111219914
17,0.3431223139804968,0.2695130714636326,0.23763259100012651,0.22719501725870841,0.21872209636423107,0.4184707545922991,0.32129758468634617,0.2923542712092925,0.2427116666466093,0.24433892983830507,0.3767759035354147,0.37177865404195787,0.33125313886998237,0.2688489602444804,0.26138771759081547
18,0.3500251407927801,0.274108534959162,0.24015660704475145,0.22843800341628911,0.22098855379479015,0.42319350985019605,0.32425454946516424,0.29411632700427925,0.2447510940864757,0.2463067270961869,0.3788476953383729,0.3749390489830913,0.33426854695239383,0.271773675605665,0.2617647249394871
19,0.35635398715446553,0.27836754052926,0.24233826748010295,0.2293647911103666,0.22294944498834723,0.42721954454672445,0.3265874405926438,0.29538857343882063,0.24643285904350942,0.24792730326328805,0.38039411458752004,0.37746862102947365,0.3367274594723761,0.2742666054204025,0.26176149216603856
